UID,state
675919160.0,Dread
9461652.0,Dread
75396644.0,Dread
598599835.0,Dread
60397022.0,Dread
536460542.0,Dread
24510672.0,Dread
77978496.0,Dread
582825242.0,Dread
20707824.0,Dread
197709570.0,Dread
74680115.0,Dread
542968223.0,Dread
73004031.0,Dread
614511148.0,Dread
484942676.0,Dread
278600465.0,Dread
89224547.0,Dread
46425433.0,Dread
25052271.0,Dread
95171397.0,Dread
73054768.0,Dread
59155656.0,Dread
577696962.0,Dread
76377705.0,Dread
884516060.0,Dread
96375791.0,Dread
659742532.0,Dread
62438104.0,Dread
18342479.0,Dread
880557760.0,Dread
72110728.0,Dread
67541506.0,Dread
81959261.0,Dread
844844554.0,Dread
237084008.0,Dread
20855552.0,Dread
22050919.0,Dread
74594401.0,Dread
85057172.0,Dread
57383305.0,Dread
165788347.0,Dread
76193382.0,Dread
49190252.0,Dread
5132794.0,Dread
56287520.0,Dread
35875255.0,Dread
8091049.0,Dread
592106208.0,Dread
84784084.0,Dread
73142863.0,Dread
214359096.0,Dread
971999091.0,Dread
35414212.0,Dread
157601990.0,Dread
401353788.0,Dread
131112487.0,Dread
16069111.0,Dread
46971882.0,Dread
973702320.0,Dread
60061655.0,Dread
734884415.0,Dread
35052257.0,Dread
329862646.0,Dread
996539301.0,Dread
11959420.0,Dread
969748139.0,Dread
62773872.0,Dread
133434705.0,Dread
559980770.0,Dread
49239966.0,Dread
378415547.0,Dread
265439103.0,Dread
59561198.0,Dread
786336209.0,Dread
438667419.0,Dread
18874011.0,Dread
549523846.0,Dread
660160778.0,Dread
98193114.0,Dread
98520053.0,Dread
94655393.0,Dread
78339021.0,Dread
65732458.0,Dread
342167515.0,Dread
76291784.0,Dread
601548869.0,Dread
96023065.0,Dread
210694926.0,Dread
407624876.0,Dread
8582151.0,Dread
95777506.0,Dread
537814558.0,Dread
18688151.0,Dread
163791409.0,Dread
29145113.0,Dread
76849489.0,Dread
39629247.0,Dread
421470727.0,Dread
24783486.0,Dread
52336121.0,Dread
4004769.0,Dread
85282122.0,Dread
51009704.0,Dread
94331435.0,Dread
796591358.0,Dread
927031479.0,Dread
60580631.0,Dread
86011898.0,Dread
638265251.0,Dread
68535300.0,Dread
248008270.0,Dread
55171094.0,Dread
94068158.0,Dread
310861245.0,Dread
901320796.0,Dread
790692591.0,Dread
63897824.0,Dread
500785953.0,Dread
358140133.0,Dread
627581896.0,Dread
41193589.0,Dread
24362033.0,Dread
685216510.0,Dread
502331590.0,Dread
309290686.0,Dread
12940825.0,Dread
76656051.0,Dread
994439169.0,Dread
38906632.0,Dread
5334783.0,Dread
263098147.0,Dread
666721587.0,Dread
96880080.0,Dread
634690249.0,Dread
351836823.0,Dread
502654619.0,Dread
12209552.0,Dread
56503746.0,Dread
80304417.0,Dread
11957960.0,Dread
19645508.0,Dread
883490861.0,Dread
17259455.0,Dread
138127817.0,Dread
58330098.0,Dread
392476433.0,Dread
421007134.0,Dread
46888912.0,Dread
31753032.0,Dread
48304624.0,Dread
245152.0,Dread
91283368.0,Dread
70487015.0,Dread
723655206.0,Dread
251794271.0,Dread
72495892.0,Dread
79294627.0,Dread
261674628.0,Dread
83639438.0,Dread
347406344.0,Dread
435037003.0,Dread
94778810.0,Dread
66732160.0,Dread
857392842.0,Dread
812086793.0,Dread
76482188.0,Dread
3969166.0,Dread
372477511.0,Dread
433504430.0,Dread
42302138.0,Dread
72059837.0,Dread
414020845.0,Dread
31714698.0,Dread
33831855.0,Dread
308234891.0,Dread
674890910.0,Dread
427004661.0,Dread
86844834.0,Dread
85481599.0,Dread
86552888.0,Dread
977317177.0,Dread
67533775.0,Dread
93457850.0,Dread
12728398.0,Dread
38533875.0,Dread
712511823.0,Dread
371659570.0,Dread
324633019.0,Dread
94726636.0,Dread
91947550.0,Dread
86233989.0,Dread
338319210.0,Dread
971327945.0,Dread
33364985.0,Dread
79185464.0,Dread
75307123.0,Dread
58206419.0,Dread
819701197.0,Dread
64559281.0,Dread
490979815.0,Dread
32587562.0,Dread
672489577.0,Dread
755550034.0,Dread
888593451.0,Dread
121452374.0,Dread
34593704.0,Dread
93208911.0,Dread
391538010.0,Dread
29951331.0,Dread
60049495.0,Dread
831698383.0,Dread
31961883.0,Dread
664279321.0,Dread
66499305.0,Dread
465397055.0,Dread
36390282.0,Dread
461896047.0,Dread
273808874.0,Dread
459332605.0,Dread
63092626.0,Dread
65306844.0,Dread
80603407.0,Dread
414681078.0,Dread
22587446.0,Dread
36629297.0,Dread
887009008.0,Dread
323939027.0,Dread
272308855.0,Dread
84515933.0,Dread
656516847.0,Dread
65632372.0,Dread
709271548.0,Dread
744727002.0,Dread
452573707.0,Dread
69647061.0,Dread
2472581.0,Dread
54980798.0,Dread
34824659.0,Dread
669336821.0,Dread
60886650.0,Dread
1767205.0,Dread
748643711.0,Dread
904704705.0,Dread
401578079.0,Dread
210447922.0,Dread
997753261.0,Dread
62118879.0,Dread
92929068.0,Dread
694238.0,Dread
61199752.0,Dread
508291820.0,Dread
588955790.0,Dread
375592399.0,Dread
84241170.0,Dread
170785542.0,Dread
71119658.0,Dread
58044780.0,Dread
197689630.0,Dread
82450373.0,Dread
57047390.0,Dread
899401373.0,Dread
35980013.0,Dread
657797127.0,Dread
767658539.0,Dread
17654928.0,Dread
60608919.0,Dread
900949207.0,Dread
617337341.0,Dread
995582689.0,Dread
2895262.0,Dread
754388366.0,Dread
742131404.0,Dread
38420872.0,Dread
619355308.0,Dread
897125563.0,Dread
453601814.0,Dread
85889523.0,Dread
262547542.0,Dread
48760544.0,Dread
51550258.0,Dread
713602079.0,Dread
51542628.0,Dread
687643664.0,Dread
61188134.0,Dread
175782435.0,Dread
99688570.0,Dread
66397815.0,Dread
405011662.0,Dread
67751173.0,Dread
32993535.0,Dread
58813471.0,Dread
73964224.0,Dread
4665278.0,Dread
89021740.0,Dread
1980430.0,Dread
561776101.0,Dread
178327619.0,Dread
983957611.0,Dread
879673737.0,Dread
484015207.0,Dread
115291045.0,Dread
904959970.0,Dread
817616726.0,Dread
190368835.0,Dread
129334748.0,Dread
54740176.0,Dread
73627736.0,Dread
98881882.0,Dread
795374924.0,Dread
38665252.0,Dread
68225516.0,Dread
376924244.0,Dread
205511454.0,Dread
89048846.0,Dread
80356480.0,Dread
753021751.0,Dread
22750873.0,Dread
510730719.0,Dread
22711139.0,Dread
184610081.0,Dread
378355.0,Dread
895462323.0,Dread
60934797.0,Dread
73524808.0,Dread
27465283.0,Dread
99959500.0,Dread
740380280.0,Dread
3533905.0,Dread
260527280.0,Dread
507840790.0,Dread
856608496.0,Dread
25854522.0,Dread
122502695.0,Dread
78372402.0,Dread
165446534.0,Dread
50688716.0,Dread
31556783.0,Dread
502160394.0,Dread
28119454.0,Dread
269339530.0,Dread
504224472.0,Dread
79262759.0,Dread
2946633.0,Dread
950107480.0,Dread
946241766.0,Dread
63924198.0,Dread
124771318.0,Dread
40062773.0,Dread
1580366.0,Dread
24633752.0,Dread
4827133.0,Dread
179669955.0,Dread
65357693.0,Dread
6430352.0,Dread
305730552.0,Dread
644897328.0,Dread
324461346.0,Dread
527169115.0,Dread
15832046.0,Dread
54508772.0,Dread
58727228.0,Dread
605866109.0,Dread
423650849.0,Dread
484580939.0,Dread
24060084.0,Dread
57826025.0,Dread
839036827.0,Dread
795468413.0,Dread
89745692.0,Dread
8068151.0,Dread
67990824.0,Dread
81549335.0,Dread
80260016.0,Dread
569925060.0,Dread
32179941.0,Dread
96258158.0,Dread
394801178.0,Dread
78246194.0,Dread
43739122.0,Dread
13749905.0,Dread
36098683.0,Dread
444350863.0,Dread
10746757.0,Dread
754044349.0,Dread
65534140.0,Dread
81509319.0,Dread
39191440.0,Dread
18749175.0,Dread
34350016.0,Dread
617110809.0,Dread
8257804.0,Dread
8548635.0,Dread
597221291.0,Dread
483825129.0,Dread
715548071.0,Dread
21649930.0,Dread
28028914.0,Dread
143693401.0,Dread
295370549.0,Dread
80649791.0,Dread
8065522.0,Dread
391714443.0,Dread
52591556.0,Dread
46210718.0,Dread
87584362.0,Dread
